################ (Airport Name : PR) ################
(Chicago Ohare Intl, United States : 0.005578354329009893)
(Los Angeles Intl, United States : 0.005571968554445694)
(Denver Intl, United States : 0.005548792406361616)
(Heathrow, United Kingdom : 0.00435468628486263)
(Hartsfield Jackson Atlanta Intl, United States : 0.004277581561990508)
(Charles De Gaulle, France : 0.004216822681415885)
(Capital Intl, China : 0.004204749188867527)
(Changi Intl, Singapore : 0.0042036312209671025)
(Frankfurt Main, Germany : 0.0041084982253857)
(Sydney Intl, Australia : 0.003948408633899491)
(Dallas Fort Worth Intl, United States : 0.0038552456214158487)
(John F Kennedy Intl, United States : 0.003829262467654214)
(Schiphol, Netherlands : 0.0037845331973906525)
(Domododevo, Russia : 0.003688331934346506)
(Lester B Pearson Intl, Canada : 0.003512339380738752)
(Incheon Intl, South Korea : 0.0034880310121723204)
(Dubai Intl, United Arab Emirates : 0.00348549883372643)
(Pudong, China : 0.003296499430909013)
(Ataturk, Turkey : 0.0032665144454296835)
(Barcelona, Spain : 0.0032569821777796034)
(Hong Kong Intl, Hong Kong : 0.0031306505869942427)
(Eldorado Intl, Colombia : 0.002994166323512624)
(Suvarnabhumi Intl, Thailand : 0.0029679249535332717)
(Miami Intl, United States : 0.002929998599637392)
(Licenciado Benito Juarez Intl, Mexico : 0.0029141459910247683)
(Fiumicino, Italy : 0.0029030990166716473)
(Brisbane Intl, Australia : 0.002857018791255842)
(Gatwick, United Kingdom : 0.0028354261031245686)
(San Francisco Intl, United States : 0.002824330530758479)
(Franz Josef Strauss, Germany : 0.0028054291504988416)
(George Bush Intercontinental, United States : 0.0027942310984541813)
(Kuala Lumpur Intl, Malaysia : 0.0027752292225104343)
(Barajas, Spain : 0.0027630943506664553)
(Indira Gandhi Intl, India : 0.002754463382729291)
(Charlotte Douglas Intl, United States : 0.0027412943035126495)
(Seattle Tacoma Intl, United States : 0.002738411591389944)
(Minneapolis St Paul Intl, United States : 0.0027309029324524667)
(Narita Intl, Japan : 0.0026933764749670686)
(Ninoy Aquino Intl, Philippines : 0.002692222606569226)
(Schwechat, Austria : 0.002658517921485081)
(Pulkovo, Russia : 0.002655056821430626)
(Baiyun Intl, China : 0.0025347818564347415)
(Mc Carran Intl, United States : 0.002517223899479657)
(Aeroparque Jorge Newbery, Argentina : 0.002472547649919369)
(Guarulhos Gov Andre Franco Montouro, Brazil : 0.002471279084869937)
(Johannesburg Intl, South Africa : 0.0024091856346823287)
(Manchester, United Kingdom : 0.002394925064904626)
(Son Sant Joan, Spain : 0.0023695910674413267)
(Chhatrapati Shivaji Intl, India : 0.0023644631498178944)
(Newark Liberty Intl, United States : 0.0023604950935353594)
(Brussels Natl, Belgium : 0.0023575516648453947)
(Vancouver Intl, Canada : 0.0023466900324896054)
(Dusseldorf, Germany : 0.0023372598229145416)
(Soekarno Hatta Intl, Indonesia : 0.0022939098317762492)
(Shuangliu, China : 0.0022748992290483527)
(Detroit Metro Wayne Co, United States : 0.0022685919101156134)
(Wujiaba, China : 0.002248856893043349)
(Melbourne Intl, Australia : 0.0022386288143676847)
(Washington Dulles Intl, United States : 0.00221583287796068)
(Orlando Intl, United States : 0.0022127202095100634)
(Ted Stevens Anchorage Intl, United States : 0.0021906349192024836)
(Abu Dhabi Intl, United Arab Emirates : 0.0021891256263266248)
(Taoyuan Intl, Taiwan : 0.0021812170134731575)
(Philadelphia Intl, United States : 0.0021778474943366156)
(Kastrup, Denmark : 0.0021778180021119653)
(Auckland Intl, New Zealand : 0.0021723152151353836)
(Phoenix Sky Harbor Intl, United States : 0.0021626406475262743)
(Zurich, Switzerland : 0.002134600464461146)
(Tokyo Intl, Japan : 0.002123578008764127)
(General Edward Lawrence Logan Intl, United States : 0.0021110903066833696)
(Pierre Elliott Trudeau Intl, Canada : 0.0020882935546935786)
(Sheremetyevo, Russia : 0.0020764824650287197)
(Jorge Chavez Intl, Peru : 0.0020361232658424777)
(Gardermoen, Norway : 0.002035138868661895)
(Fort Lauderdale Hollywood Intl, United States : 0.0020060439850509955)
(Orly, France : 0.0019849101965771546)
(Arlanda, Sweden : 0.0019690444487004107)
(Xianyang, China : 0.0019643006801545004)
(Bethel, United States : 0.0019373178604102559)
(Helsinki Vantaa, Finland : 0.0018349794117457803)
(King Abdulaziz Intl, Saudi Arabia : 0.0018255395459753257)
(Malpensa, Italy : 0.0018055376164369803)
(Presidente Juscelino Kubitschek, Brazil : 0.0017737895269917907)
(Lisboa, Portugal : 0.0017708279287013884)
(Jiangbei, China : 0.00176711592191735)
(Jomo Kenyatta International, Kenya : 0.0017319227078984273)
(Eleftherios Venizelos Intl, Greece : 0.0016887487568099273)
(Xiaoshan, China : 0.001665541760837087)
(Mehrabad Intl, Iran : 0.001653514116670719)
(Honolulu Intl, United States : 0.0016478184698734525)
(Cairo Intl, Egypt : 0.0016260693316960258)
(Dublin, Ireland : 0.001625509199590122)
(Baoan Intl, China : 0.0016181818820801823)
(King Khaled Intl, Saudi Arabia : 0.00160403349153073)
(Bole Intl, Ethiopia : 0.0015981203657936087)
(Tegel, Germany : 0.0015971788670119317)
(Salt Lake City Intl, United States : 0.0015755900906928185)
(Perth Intl, Australia : 0.00156448148386106)
(Faa\\'a International, French Polynesia : 0.0015519724203999032)
(Port Moresby Jacksons Intl, Papua New Guinea : 0.001546153937213764)
(Doha Intl, Qatar : 0.0015190219646835014)
(Hongqiao Intl, China : 0.0014943941130650443)
(Diwopu, China : 0.0014939987569326332)
(Cancun Intl, Mexico : 0.0014780823701009843)
(Malaga, Spain : 0.0014701589003350375)
(Gaoqi, China : 0.0014654700648043329)
(Portland Intl, United States : 0.0014522936138194507)
(Calgary Intl, Canada : 0.0014369449269416115)
(Honiara International, Solomon Islands : 0.0014333032411223035)
(Arturo Merino Benitez Intl, Chile : 0.0014203642102169982)
(Chicago Midway Intl, United States : 0.0013982354118035278)
(Baltimore Washington Intl, United States : 0.0013972009610266419)
(La Guardia, United States : 0.0013946304427566425)
(Galeao Antonio Carlos Jobim, Brazil : 0.001394441904640613)
(Fairbanks Intl, United States : 0.0013901413572235725)
(Kansai, Japan : 0.0013737269270990239)
(Stansted, United Kingdom : 0.0013639753434286216)
(Lambert St Louis Intl, United States : 0.0013591917024655424)
(Sabiha Gokcen, Turkey : 0.0013462247422487003)
(Liuting, China : 0.0013416845659271256)
(Simon Bolivar Intl, Venezuela : 0.0013318869843442287)
(Huanghua, China : 0.0013306993296104493)
(Tianhe, China : 0.0013194097727328537)
(Ronald Reagan Washington Natl, United States : 0.0013159308677550263)
(Geneve Cointrin, Switzerland : 0.001307618304129028)
(Viracopos, Brazil : 0.0012968245992139732)
(Tampa Intl, United States : 0.001291542060355711)
(Ruzyne, Czech Republic : 0.0012876910639701773)
